City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sao Filipe,0,CV,2019-04-01 03:32:59,98,14.9,-24.5,70.31,14.7
Cape Town,40,ZA,2019-04-01 03:32:07,62,-33.93,18.42,59.0,8.05
Lompoc,1,US,2019-04-01 03:30:06,71,34.64,-120.46,66.2,4.7
Laguna,32,MX,2019-04-01 03:32:59,23,27.52,-110.01,75.98,4.97
Punta Arenas,75,CL,2019-04-01 03:32:26,87,-53.16,-70.91,50.0,6.93
Katsuura,75,JP,2019-04-01 03:08:00,66,33.93,134.5,50.0,11.41
Richards Bay,0,ZA,2019-04-01 03:29:23,93,-28.77,32.06,70.13,11.01
Guerrero Negro,48,MX,2019-04-01 03:33:00,29,27.97,-114.04,71.66,10.56
Pochutla,40,MX,2019-04-01 03:30:50,74,15.74,-96.47,80.6,4.97
Alcaniz,92,ES,2019-04-01 03:28:01,91,41.05,-0.13,48.99,1.01
Butaritari,88,KI,2019-04-01 03:33:01,100,3.07,172.79,80.93,9.55
Barrow,44,AR,2019-04-01 03:28:14,60,-38.31,-60.23,68.15,7.76
Port Elizabeth,1,US,2019-04-01 03:28:17,41,39.31,-74.98,43.0,14.99
Tyrma,44,RU,2019-04-01 03:33:02,55,50.04,132.17,31.97,3.62
Rikitea,36,PF,2019-04-01 03:33:02,100,-23.12,-134.97,76.79,16.82
Saint-Georges,64,CA,2019-04-01 03:31:02,90,46.12,-70.67,30.0,4.0
Leningradskiy,56,RU,2019-04-01 03:33:03,92,69.38,178.42,11.0,12.24
Upernavik,80,GL,2019-04-01 03:33:03,100,72.79,-56.15,10.73,4.85
Champerico,75,MX,2019-04-01 02:44:00,61,16.38,-93.6,78.8,28.86
Busselton,48,AU,2019-04-01 03:32:19,29,-33.64,115.35,87.01,12.35
New Norfolk,20,AU,2019-04-01 03:32:16,41,-42.78,147.06,66.0,10.29
Ushuaia,90,AR,2019-04-01 03:00:00,87,-54.81,-68.31,46.4,10.29
Vaini,0,IN,2019-04-01 03:00:00,83,15.34,74.49,75.2,3.36
Avarua,0,CK,2019-04-01 03:00:00,88,-21.21,-159.78,82.4,10.29
Xingyi,0,CN,2019-04-01 03:33:05,56,24.19,102.82,71.93,3.62
Yellowknife,90,CA,2019-04-01 03:32:05,86,62.45,-114.38,33.8,18.34
Amfissa,0,GR,2019-04-01 03:31:05,81,38.53,22.38,51.01,4.0
Terney,88,RU,2019-04-01 03:33:06,96,45.05,136.61,31.43,5.08
Cabo San Lucas,5,MX,2019-04-01 03:32:12,46,22.89,-109.91,75.99,6.93
Meulaboh,12,ID,2019-04-01 03:33:06,100,4.14,96.13,82.73,3.4
Nogales,1,US,2019-04-01 03:30:30,17,31.34,-110.94,62.01,6.93
Hithadhoo,0,MV,2019-04-01 03:33:07,100,-0.6,73.08,83.18,5.53
Lavrentiya,64,RU,2019-04-01 03:33:07,100,65.58,-170.99,29.18,5.3
Dukat,0,RS,2019-04-01 03:30:53,70,42.44,22.31,34.0,2.06
Leh,24,IN,2019-04-01 03:33:07,84,34.16,77.58,-0.44,1.95
Mount Gambier,90,AU,2019-04-01 03:00:00,55,-37.83,140.78,62.6,5.82
Qaanaaq,68,GL,2019-04-01 03:33:08,79,77.48,-69.36,-1.79,6.42
Tuktoyaktuk,75,CA,2019-04-01 03:00:00,85,69.44,-133.03,15.8,17.22
Hilo,90,US,2019-04-01 03:26:40,88,19.71,-155.08,75.2,10.29
Sabang,100,PH,2019-04-01 03:33:09,100,13.72,123.58,76.25,6.42
Clarksburg,90,US,2019-04-01 03:31:08,54,39.28,-80.34,30.99,4.7
Nikolskoye,0,RU,2019-04-01 03:31:41,84,59.7,30.79,32.0,8.95
Sinnamary,56,GF,2019-04-01 03:33:10,96,5.38,-52.96,79.58,8.66
Alto Araguaia,8,BR,2019-04-01 03:33:10,45,-17.32,-53.22,76.07,9.89
Hobart,20,AU,2019-04-01 03:32:16,41,-42.88,147.33,66.0,10.29
Logrono,92,ES,2019-04-01 03:32:38,93,42.47,-2.45,46.4,5.82
Mataura,80,NZ,2019-04-01 03:30:09,77,-46.19,168.86,51.01,4.0
Nata,40,CY,2019-04-01 03:32:17,93,34.78,32.57,52.0,6.93
Namatanai,56,PG,2019-04-01 03:28:27,97,-3.66,152.44,83.45,12.24
General Pico,92,AR,2019-04-01 03:33:12,98,-35.66,-63.75,67.16,6.76
Tagusao,0,PH,2019-04-01 03:33:12,69,9.19,117.81,86.51,5.75
Flensburg,0,DE,2019-04-01 03:33:00,92,54.78,9.43,30.99,2.24
Casma,12,PE,2019-04-01 03:33:13,99,-9.47,-78.3,68.06,14.03
Les Escoumins,92,CA,2019-04-01 03:33:13,81,48.35,-69.4,28.91,8.88
Atuona,20,PF,2019-04-01 03:33:13,100,-9.8,-139.03,82.28,12.01
Nagua,92,DO,2019-04-01 03:33:13,97,19.37,-69.85,74.9,7.99
Sitka,0,US,2019-04-01 03:30:14,41,37.17,-99.65,41.0,7.0
Victoria,75,BN,2019-04-01 03:00:00,55,5.28,115.24,87.8,11.41
Chuy,44,UY,2019-04-01 03:33:15,90,-33.69,-53.46,64.01,4.97
Husavik,8,CA,2019-04-01 03:30:38,85,50.56,-96.99,30.99,3.0
Alofi,92,NU,2019-04-01 03:00:00,88,-19.06,-169.92,80.6,6.93
Saint-Philippe,90,CA,2019-04-01 03:32:57,90,45.36,-73.48,32.0,9.17
Airai,8,TL,2019-04-01 03:33:16,55,-8.93,125.41,83.81,1.72
Ponta do Sol,32,BR,2019-04-01 03:32:01,81,-20.63,-46.0,64.1,2.51
Trairi,68,BR,2019-04-01 03:33:16,100,-3.28,-39.27,80.66,8.21
Lazaro Cardenas,5,MX,2019-04-01 03:30:17,46,28.39,-105.62,62.01,11.41
Seddon,8,NZ,2019-04-01 03:22:36,69,-41.67,174.07,71.01,1.99
Nieuw Amsterdam,0,SR,2019-04-01 03:25:11,88,5.88,-55.08,77.0,2.24
Codrington,40,AU,2019-04-01 03:28:47,47,-28.95,153.24,77.0,9.17
Matagami,20,NG,2019-04-01 03:33:18,73,9.67,8.4,66.71,1.95
Albany,75,US,2019-04-01 03:28:24,64,42.65,-73.75,37.0,12.75
Puerto Ayora,0,EC,2019-04-01 03:31:46,93,-0.74,-90.35,79.0,6.98
Olga,1,US,2019-04-01 03:33:15,30,34.11,-118.17,71.6,0.72
Cockburn Town,0,TC,2019-04-01 03:33:20,100,21.46,-71.14,77.15,11.23
Santo Amaro da Imperatriz,75,BR,2019-04-01 03:31:42,88,-27.69,-48.78,75.99,4.07
Paamiut,76,GL,2019-04-01 03:33:21,100,61.99,-49.67,26.03,11.23
Uzhur,48,RU,2019-04-01 03:33:21,62,55.32,89.85,42.77,10.45
Sarab,90,IR,2019-04-01 03:00:00,100,38.61,44.99,35.6,3.18
Pleasanton,1,US,2019-04-01 03:31:09,51,37.66,-121.87,66.0,8.05
Jamestown,0,AU,2019-04-01 03:33:22,60,-33.21,138.6,67.43,2.51
Provideniya,90,RU,2019-04-01 03:00:00,100,64.42,-173.23,32.0,6.71
Ostersund,56,SE,2019-04-01 03:11:54,68,63.18,14.64,28.0,4.7
Tenenkou,32,ML,2019-04-01 03:33:23,34,14.46,-4.91,79.85,9.1
Stromness,90,CA,2019-04-01 03:33:21,79,42.87,-79.55,28.0,17.22
Fare,12,PF,2019-04-01 03:33:23,100,-16.7,-151.02,84.71,4.18
Marginea,0,RO,2019-04-01 03:33:21,65,47.81,25.82,50.0,12.75
Christchurch,0,NZ,2019-04-01 03:30:05,25,-43.53,172.64,78.01,20.8
San Quintin,8,PH,2019-04-01 03:29:18,50,17.54,120.52,87.05,3.62
Cravo Norte,12,CO,2019-04-01 03:33:24,96,6.3,-70.2,75.26,3.06
Saskylakh,44,RU,2019-04-01 03:33:25,92,71.97,114.09,26.39,13.24
Arraial do Cabo,20,BR,2019-04-01 03:33:25,98,-22.97,-42.02,74.99,3.62
Palmer,1,US,2019-04-01 03:33:23,34,61.6,-149.11,53.01,4.7
Khatanga,88,RU,2019-04-01 03:33:25,97,71.98,102.47,30.53,6.64
Tasiilaq,88,GL,2019-04-01 02:50:00,73,65.61,-37.64,23.0,4.7
Bethel,1,US,2019-04-01 02:56:00,57,60.79,-161.76,51.8,10.29
Dandong,0,CN,2019-04-01 03:33:27,42,40.12,124.37,47.18,4.18
Souillac,0,FR,2019-04-01 03:30:09,61,45.6,-0.6,50.0,2.95
Bluff,0,AU,2019-04-01 03:33:27,47,-23.58,149.07,79.13,6.98
Hayden,75,US,2019-04-01 03:33:09,66,47.77,-116.79,51.8,6.93
Ucluelet,0,CA,2019-04-01 03:28:38,93,48.94,-125.55,54.0,1.16
Nome,1,US,2019-04-01 03:30:08,75,30.04,-94.42,48.2,6.08
Asbe Teferi,76,ET,2019-04-01 03:33:28,63,9.08,40.87,59.33,2.73
Ancud,90,CL,2019-04-01 03:00:00,100,-41.87,-73.83,51.8,6.93
Port Alfred,20,ZA,2019-04-01 03:33:29,94,-33.59,26.89,66.35,24.54
Clyde River,90,CA,2019-04-01 03:08:00,91,70.47,-68.59,1.4,4.7
Aklavik,75,CA,2019-04-01 03:00:00,73,68.22,-135.01,26.6,11.41
Sivas,40,TR,2019-04-01 02:50:00,75,39.75,37.01,32.0,4.7
Bambous Virieux,20,MU,2019-04-01 03:29:02,88,-20.34,57.76,75.99,6.93
Pevek,20,RU,2019-04-01 03:33:30,76,69.7,170.27,11.63,3.29
Puerto Carreno,40,CO,2019-04-01 03:00:00,78,6.19,-67.49,82.4,2.95
Balingasay,20,PH,2019-04-01 03:33:31,91,16.36,119.86,83.9,6.31
Hermanus,44,ZA,2019-04-01 03:32:07,67,-34.42,19.24,57.0,4.0
Bondo,76,CD,2019-04-01 03:33:31,86,3.81,23.69,72.56,3.74
Torbay,90,CA,2019-04-01 03:32:47,100,47.66,-52.73,46.0,10.29
Kumluca,88,TR,2019-04-01 03:33:32,100,36.37,30.29,34.13,1.61
Boden,12,SE,2019-04-01 02:50:00,63,65.83,21.69,26.6,9.17
Naze,40,NG,2019-04-01 02:00:00,88,5.43,7.07,75.2,4.41
Shingu,20,JP,2019-04-01 03:00:00,50,33.72,135.99,51.8,16.11
Bredasdorp,8,ZA,2019-04-01 03:00:00,76,-34.53,20.04,53.6,8.05
Horqueta,64,PY,2019-04-01 03:33:34,61,-23.34,-57.05,79.76,4.63
Dubai,0,AE,2019-04-01 03:00:00,26,25.27,55.3,84.2,6.93
Kavaratti,0,IN,2019-04-01 03:28:51,99,10.57,72.64,84.62,9.22
Ridgecrest,1,US,2019-04-01 03:33:12,17,35.62,-117.67,66.2,4.7
Awjilah,0,LY,2019-04-01 03:33:35,74,29.14,21.3,46.91,3.06
Broome,0,GB,2019-04-01 03:33:06,80,52.47,1.45,44.01,5.82
Mayumba,100,GA,2019-04-01 03:33:35,97,-3.44,10.65,81.29,5.64
Cayenne,80,GF,2019-04-01 03:00:00,78,4.94,-52.33,78.8,4.7
Sungai Besar,90,MY,2019-04-01 03:00:00,100,3.68,100.99,77.0,2.24
Esperance,20,TT,2019-04-01 03:30:55,83,10.24,-61.45,77.0,5.82
Kazerun,92,IR,2019-04-01 03:33:37,91,29.62,51.65,58.61,3.4
Chokurdakh,0,RU,2019-04-01 03:33:37,96,70.62,147.9,21.35,4.97
Dalvik,0,SE,2019-04-01 03:31:18,85,57.79,14.13,23.0,2.24
Labuhan,36,ID,2019-04-01 03:32:52,73,-2.54,115.51,85.43,2.73
Itarema,92,BR,2019-04-01 03:33:38,97,-2.92,-39.92,77.69,4.18
Matara,64,PE,2019-04-01 03:33:38,95,-13.74,-72.9,43.31,1.61
Rio Gallegos,90,AR,2019-04-01 03:12:00,87,-51.62,-69.22,51.8,4.7
Svetlogorsk,20,RU,2019-04-01 03:00:00,91,53.14,59.15,35.6,15.66
Nanortalik,12,GL,2019-04-01 03:33:39,100,60.14,-45.24,26.48,19.28
